"zone","offset","country","city"
Antarctica/Syowa,11212,Antarctica,Syowa
Antarctica/Troll,0,Antarctica,Troll
Antarctica/Vostok,0,Antarctica,Vostok
Arctic/Longyearbyen,3208,Arctic,Longyearbyen
Asia/Aden,11212,Asia,Aden
Asia/Almaty,18468,Asia,Almaty
Asia/Amman,8624,Asia,Amman
Asia/Anadyr,42596,Asia,Anadyr
Asia/Aqtau,12064,Asia,Aqtau
Asia/Aqtobe,13720,Asia,Aqtobe
Asia/Ashgabat,14012,Asia,Ashgabat
Asia/Atyrau,12464,Asia,Atyrau
Asia/Baghdad,10660,Asia,Baghdad
Asia/Bahrain,12368,Asia,Bahrain
Asia/Baku,11964,Asia,Baku
Asia/Bangkok,24124,Asia,Bangkok
Asia/Barnaul,20100,Asia,Barnaul
Asia/Beirut,8520,Asia,Beirut
Asia/Bishkek,17904,Asia,Bishkek
Asia/Brunei,26480,Asia,Brunei
Asia/Chita,27232,Asia,Chita
Asia/Colombo,19164,Asia,Colombo
Asia/Damascus,8712,Asia,Damascus
Asia/Dhaka,21700,Asia,Dhaka
Asia/Dili,30140,Asia,Dili
Asia/Dubai,13272,Asia,Dubai
Asia/Dushanbe,16512,Asia,Dushanbe
Asia/Famagusta,8148,Asia,Famagusta
Asia/Gaza,8272,Asia,Gaza
Asia/Hebron,8423,Asia,Hebron
Asia/Ho_Chi_Minh,25590,Asia,Ho_Chi_Minh
Asia/Hong_Kong,27402,Asia,Hong_Kong
Asia/Hovd,21996,Asia,Hovd
Asia/Irkutsk,25025,Asia,Irkutsk
Asia/Jakarta,25632,Asia,Jakarta
Asia/Jayapura,33768,Asia,Jayapura
Asia/Jerusalem,8454,Asia,Jerusalem
Asia/Kabul,16608,Asia,Kabul
Asia/Kamchatka,38076,Asia,Kamchatka
Asia/Karachi,16092,Asia,Karachi
Asia/Kathmandu,20476,Asia,Kathmandu
Asia/Khandyga,32533,Asia,Khandyga
Asia/Kolkata,21208,Asia,Kolkata
Asia/Krasnoyarsk,22286,Asia,Krasnoyarsk
Asia/Kuala_Lumpur,24925,Asia,Kuala_Lumpur
Asia/Kuching,26480,Asia,Kuching
Asia/Kuwait,11212,Asia,Kuwait
Asia/Macau,27250,Asia,Macau
Asia/Magadan,36192,Asia,Magadan
Asia/Makassar,28656,Asia,Makassar
Asia/Manila,-57368,Asia,Manila
Asia/Muscat,13272,Asia,Muscat
Asia/Nicosia,8008,Asia,Nicosia
Asia/Novokuznetsk,20928,Asia,Novokuznetsk
Asia/Novosibirsk,19900,Asia,Novosibirsk
Asia/Omsk,17610,Asia,Omsk
Asia/Oral,12324,Asia,Oral
Asia/Phnom_Penh,24124,Asia,Phnom_Penh
Asia/Pontianak,26240,Asia,Pontianak
Asia/Pyongyang,30180,Asia,Pyongyang
Asia/Qatar,12368,Asia,Qatar
Asia/Qostanay,15268,Asia,Qostanay
Asia/Qyzylorda,15712,Asia,Qyzylorda
Asia/Riyadh,11212,Asia,Riyadh
Asia/Sakhalin,34248,Asia,Sakhalin
Asia/Samarkand,16073,Asia,Samarkand
Asia/Seoul,30472,Asia,Seoul
Asia/Shanghai,29143,Asia,Shanghai
Asia/Singapore,24925,Asia,Singapore
Asia/Srednekolymsk,36892,Asia,Srednekolymsk
Asia/Taipei,29160,Asia,Taipei
Asia/Tashkent,16631,Asia,Tashkent
Asia/Tbilisi,10751,Asia,Tbilisi
Asia/Tehran,12344,Asia,Tehran
Asia/Thimphu,21516,Asia,Thimphu
Asia/Tokyo,33539,Asia,Tokyo
Asia/Tomsk,20391,Asia,Tomsk
Asia/Ulaanbaatar,25652,Asia,Ulaanbaatar
Asia/Urumqi,21020,Asia,Urumqi
Asia/Ust-Nera,34374,Asia,Ust-Nera
Asia/Vientiane,24124,Asia,Vientiane
Asia/Vladivostok,31651,Asia,Vladivostok
Asia/Yakutsk,31138,Asia,Yakutsk
Asia/Yangon,23087,Asia,Yangon
Asia/Yekaterinburg,14553,Asia,Yekaterinburg
Asia/Yerevan,10680,Asia,Yerevan
Atlantic/Azores,-6160,Atlantic,Azores
Atlantic/Bermuda,-15558,Atlantic,Bermuda
Atlantic/Canary,-3696,Atlantic,Canary
Atlantic/Cape_Verde,-5644,Atlantic,Cape_Verde
Atlantic/Faroe,-1624,Atlantic,Faroe
Atlantic/Madeira,-4056,Atlantic,Madeira
Atlantic/Reykjavik,-968,Atlantic,Reykjavik
Atlantic/South_Georgia,-8768,Atlantic,South_Georgia
Atlantic/Stanley,-13884,Atlantic,Stanley
Atlantic/St_Helena,-968,Atlantic,St_Helena
Australia/Adelaide,33260,Australia,Adelaide
Australia/Brisbane,36728,Australia,Brisbane
Australia/Broken_Hill,33948,Australia,Broken_Hill
Australia/Darwin,31400,Australia,Darwin
Australia/Eucla,30928,Australia,Eucla
Australia/Hobart,35356,Australia,Hobart
Australia/Lindeman,35756,Australia,Lindeman
Australia/Lord_Howe,38180,Australia,Lord_Howe
Australia/Melbourne,34792,Australia,Melbourne
Australia/Perth,27804,Australia,Perth
Australia/Sydney,36292,Australia,Sydney
Europe/Amsterdam,1050,Europe,Amsterdam
Europe/Andorra,364,Europe,Andorra
Europe/Astrakhan,11532,Europe,Astrakhan
Europe/Athens,5692,Europe,Athens
Europe/Belgrade,4920,Europe,Belgrade
Europe/Berlin,3208,Europe,Berlin
Europe/Bratislava,3464,Europe,Bratislava
Europe/Brussels,1050,Europe,Brussels
Europe/Bucharest,6264,Europe,Bucharest
Europe/Budapest,4580,Europe,Budapest
Europe/Busingen,2048,Europe,Busingen
Europe/Chisinau,6920,Europe,Chisinau
Europe/Copenhagen,3208,Europe,Copenhagen
Europe/Dublin,-1521,Europe,Dublin
Europe/Gibraltar,-1284,Europe,Gibraltar
Europe/Guernsey,-75,Europe,Guernsey
Europe/Helsinki,5989,Europe,Helsinki
Europe/Isle_of_Man,-75,Europe,Isle_of_Man
Europe/Istanbul,6952,Europe,Istanbul
Europe/Jersey,-75,Europe,Jersey
Europe/Kaliningrad,4920,Europe,Kaliningrad
Europe/Kirov,11928,Europe,Kirov
Europe/Kyiv,7324,Europe,Kyiv
Europe/Lisbon,-2205,Europe,Lisbon
Europe/Ljubljana,4920,Europe,Ljubljana
Europe/London,-75,Europe,London
Europe/Luxembourg,1050,Europe,Luxembourg
Europe/Madrid,-884,Europe,Madrid
Europe/Malta,3484,Europe,Malta
Europe/Mariehamn,5989,Europe,Mariehamn
Europe/Minsk,6616,Europe,Minsk
Europe/Monaco,561,Europe,Monaco
Europe/Moscow,9017,Europe,Moscow
Europe/Oslo,3208,Europe,Oslo
Europe/Paris,561,Europe,Paris
Europe/Podgorica,4920,Europe,Podgorica
Europe/Prague,3464,Europe,Prague
Europe/Riga,5794,Europe,Riga
Europe/Rome,2996,Europe,Rome
Europe/Samara,12020,Europe,Samara
Europe/San_Marino,2996,Europe,San_Marino
Europe/Sarajevo,4920,Europe,Sarajevo
Europe/Saratov,11058,Europe,Saratov
Europe/Simferopol,8184,Europe,Simferopol
Europe/Skopje,4920,Europe,Skopje
Europe/Sofia,5596,Europe,Sofia
Europe/Stockholm,3208,Europe,Stockholm
Europe/Tallinn,5940,Europe,Tallinn
Europe/Tirane,4760,Europe,Tirane
Europe/Ulyanovsk,11616,Europe,Ulyanovsk
Europe/Vaduz,2048,Europe,Vaduz
Europe/Vatican,2996,Europe,Vatican
Europe/Vienna,3921,Europe,Vienna
Europe/Vilnius,6076,Europe,Vilnius
Europe/Volgograd,10660,Europe,Volgograd
Europe/Warsaw,5040,Europe,Warsaw
Europe/Zagreb,4920,Europe,Zagreb
Europe/Zurich,2048,Europe,Zurich
Indian/Antananarivo,8836,Indian,Antananarivo
Indian/Chagos,17380,Indian,Chagos
Indian/Christmas,24124,Indian,Christmas
Indian/Cocos,23087,Indian,Cocos
Indian/Comoro,8836,Indian,Comoro
Indian/Kerguelen,17640,Indian,Kerguelen
Indian/Mahe,13272,Indian,Mahe
Indian/Maldives,17640,Indian,Maldives
Indian/Mauritius,13800,Indian,Mauritius
Indian/Mayotte,8836,Indian,Mayotte
Indian/Reunion,13272,Indian,Reunion
Pacific/Apia,45184,Pacific,Apia
Pacific/Auckland,41944,Pacific,Auckland
Pacific/Bougainville,37336,Pacific,Bougainville
Pacific/Chatham,44028,Pacific,Chatham
Pacific/Chuuk,35320,Pacific,Chuuk
Pacific/Easter,-26248,Pacific,Easter
Pacific/Efate,40396,Pacific,Efate
Pacific/Fakaofo,-41096,Pacific,Fakaofo
Pacific/Fiji,42944,Pacific,Fiji
Pacific/Funafuti,41524,Pacific,Funafuti
Pacific/Galapagos,-21504,Pacific,Galapagos
Pacific/Gambier,-32388,Pacific,Gambier
Pacific/Guadalcanal,38388,Pacific,Guadalcanal
Pacific/Guam,-51660,Pacific,Guam
Pacific/Honolulu,-37886,Pacific,Honolulu
Pacific/Kanton,0,Pacific,Kanton
Pacific/Kiritimati,-37760,Pacific,Kiritimati
Pacific/Kosrae,-47284,Pacific,Kosrae
Pacific/Kwajalein,40160,Pacific,Kwajalein
Pacific/Majuro,41524,Pacific,Majuro
Pacific/Marquesas,-33480,Pacific,Marquesas
Pacific/Midway,45432,Pacific,Midway
Pacific/Nauru,40060,Pacific,Nauru
Pacific/Niue,-40780,Pacific,Niue
Pacific/Norfolk,40312,Pacific,Norfolk
Pacific/Noumea,39948,Pacific,Noumea
Pacific/Pago_Pago,45432,Pacific,Pago_Pago
Pacific/Palau,-54124,Pacific,Palau
Pacific/Pitcairn,-31220,Pacific,Pitcairn
Pacific/Pohnpei,38388,Pacific,Pohnpei
Pacific/Port_Moresby,35320,Pacific,Port_Moresby
Pacific/Rarotonga,48056,Pacific,Rarotonga
Pacific/Saipan,-51660,Pacific,Saipan
Pacific/Tahiti,-35896,Pacific,Tahiti
Pacific/Tarawa,41524,Pacific,Tarawa
Pacific/Tongatapu,44352,Pacific,Tongatapu
Pacific/Wake,41524,Pacific,Wake
Pacific/Wallis,41524,Pacific,Wallis
